"Restaurant.Name","BBL","Building.Number","Street","Borough","Postcode","Latitude","Longitude","Business.Address","Approved.for.Sidewalk.Seating","Approved.for.Roadway.Seating","Qualify.Alcohol","Time.of.Submission","GRADE","GRADE.DATE","CUISINE.DESCRIPTION","Time"
"GUPSHUP",1008740010,"113","E 18 Street","Manhattan",10003,40.7368,-73.987746,"113 E 18 Street, Manhattan, NY","yes","yes","yes","06/19/2020 11:28:00 AM","Z",2020-03-09,"Indian","06/19/2020"
"Le Garage",3032080001,"159","Central Ave","Brooklyn",11221,40.699043,-73.926815,"159 Central Ave, Brooklyn, NY","no","yes","yes","06/21/2020 04:42:00 PM","A",2019-06-19,"Spanish","06/21/2020"
"LOS BALBUENA RESTAURANT CORP",2031520001,"2376","RYER AVE","Bronx",10458,40.859303,-73.898076,"2376  RYER AVE, Bronx, NY","yes","no","yes","06/25/2020 04:10:00 PM","A",2019-10-09,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/25/2020"
"Cafe Argentino Inc",3023870020,"499","Grand Street","Brooklyn",11211,40.710957,-73.951197,"499  Grand Street, Brooklyn, NY","yes","yes","yes","06/19/2020 03:41:00 PM","A",2020-01-29,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/19/2020"
"Entwine",1006400039,"765","Washington Street","Manhattan",10014,40.737396,-74.008206,"765 Washington Street, Manhattan, NY","yes","yes","yes","06/19/2020 03:18:00 PM","A",2018-11-16,"American","06/19/2020"
"SILVESTRE DE LA CRUZ",3006920038,"938","4TH AVENUE","Brooklyn",11232,40.654727,-74.003997,"938 4TH AVENUE, Brooklyn, NY","yes","yes","yes","06/27/2020 10:26:00 PM","A",2019-09-26,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/27/2020"
"Prima Dona Ristorante",4015510004,"90-18","ROOSEVELT AVE","Queens",11372,40.748476,-73.875833,"90-18 ROOSEVELT AVE, Queens, NY","yes","yes","yes","06/24/2020 04:13:00 PM","A",2019-07-10,"Peruvian","06/24/2020"
"North Fork Restaurant",1005880045,"122","Christopher Street","Manhattan",10014,40.733161,-74.00573,"122  Christopher Street, Manhattan, NY","yes","yes","yes","06/20/2020 12:28:00 PM","B",2019-09-10,"American","06/20/2020"
"Cafe on ralph",3016480049,"86","Ralph Ave","Brooklyn",11221,40.687186,-73.923576,"86 Ralph Ave , Brooklyn, NY","yes","yes","no","06/30/2020 11:34:00 PM","A",2020-01-02,"Café/Coffee/Tea","06/30/2020"
"SAHIB",1008830022,"104","LEXINGTON AVE","Manhattan",10016,40.742218,-73.982783,"104 LEXINGTON AVE, Manhattan, NY","yes","no","yes","06/21/2020 03:55:00 PM","C",2020-02-24,"Indian","06/21/2020"
"Shanghai You Garden",4050360044,"13533","40th RD","Queens",11354,40.758873,-73.830123,"13533 40th RD, Queens, NY","no","yes","no","06/25/2020 01:13:00 PM","A",2019-12-03,"Chinese","06/25/2020"
"Agora Turkish Restaurant Inc",1015270023,"1565","Second Avenue","Manhattan",10028,40.774853,-73.953959,"1565 Second Avenue, Manhattan, NY","yes","yes","yes","06/20/2020 07:12:00 PM","A",2020-02-11,"Turkish","06/20/2020"
"Patrizias of sheepshead bay",3087750041,"1901","Emmons avenue","Brooklyn",11235,40.583565,-73.949432,"1901 Emmons avenue, Brooklyn, NY","yes","no","yes","06/19/2020 05:20:00 PM","Z",2020-02-18,"Turkish","06/19/2020"
"Restaurant Marc Forgione",1001410002,"134","Reade Street","Manhattan",10013,40.716399,-74.00965,"134 Reade Street, Manhattan, NY","yes","yes","yes","06/22/2020 12:57:00 PM","A",2019-06-15,"American","06/22/2020"
"F & M CAMPO BELLO RESTAURANT II CORP",3060870029,"9128","5TH AVENUE","Brooklyn",11209,40.618355,-74.028921,"9128 5TH AVENUE , Brooklyn, NY","yes","yes","no","06/19/2020 03:10:00 PM","A",2019-11-06,"Spanish","06/19/2020"
"Dan and John's Wings",1004500033,"135","1st Avenue","Manhattan",10003,40.727753,-73.985186,"135 1st Avenue, Manhattan, NY","yes","yes","yes","06/19/2020 07:17:00 PM","A",2020-03-06,"American","06/19/2020"
"FANSWAY TERIAKYI KITCHEN",3033180001,"1513A","Myrtle Ave.","Brooklyn",11237,40.699147,-73.915181,"1513A Myrtle Ave., Brooklyn, NY","yes","no","no","06/20/2020 09:40:00 PM","A",2019-11-13,"Japanese","06/20/2020"
"Tï¿½ Company",1006110032,"163","West 10th","Manhattan",10014,40.734424,-74.001855,"163 West 10th, Manhattan, NY","yes","yes","no","07/02/2020 12:11:00 PM","C",2019-07-19,"American","07/02/2020"
"169 Bar",1002840026,"169","East Broadway","Manhattan",10002,40.71408,-73.989813,"169  East Broadway , Manhattan, NY","yes","yes","yes","06/19/2020 02:27:00 PM","B",2019-10-23,"American","06/19/2020"
"3 Meals West Indian Restaurant LLC",3013810050,"1643","Saint Johns Place","Brooklyn",11233,40.670157,-73.923015,"1643  Saint Johns Place , Brooklyn, NY","yes","no","no","06/28/2020 04:51:00 PM","A",2019-04-30,"Caribbean","06/28/2020"
"Boon Chu 2 Thai Place",4008240064,"35-13","Ditmars Boulevard","Queens",11105,40.77475,-73.908727,"35-13 Ditmars Boulevard , Queens, NY","yes","yes","no","06/21/2020 03:59:00 PM","A",2019-04-09,"Thai","06/21/2020"
"baal falafel",1004890008,"71","sullivan st","Manhattan",10012,40.724625,-74.003889,"71  sullivan st, Manhattan, NY","yes","yes","no","07/14/2020 09:16:00 AM","A",2019-08-20,"Mediterranean","07/14/2020"
"Daikanyama",1013940023,"1000","3rd ave","Manhattan",10022,40.761894,-73.966349,"1000  3rd ave , Manhattan, NY","yes","no","no","06/23/2020 10:31:00 PM","N",2020-06-23,"Japanese","06/23/2020"
"La tuna inc",5011400082,"68","Van riper st","Staten Island",10302,40.626122,-74.143738,"68 Van riper st , Staten Island, NY","yes","no","yes","06/19/2020 05:42:00 PM","A",2019-10-22,"Spanish","06/19/2020"
"Parkway Diner",4081110009,"44-25","Douglaston Parkway","Queens",11363,40.766138,-73.745175,"44-25  Douglaston Parkway, Queens, NY","yes","yes","no","06/19/2020 05:04:00 PM","A",2019-09-24,"American","06/19/2020"
"Bklyn Prime",3049900046,"4315","Farragut Rd","Brooklyn",11203,40.637082,-73.935048,"4315 Farragut Rd, Brooklyn, NY","yes","yes","yes","06/24/2020 03:21:00 PM","A",2020-01-18,"Caribbean","06/24/2020"
"Le gamin",3025690008,"108","Franklin street","Brooklyn",11222,40.728293,-73.957321,"108 Franklin street, Brooklyn, NY","yes","yes","yes","06/19/2020 03:16:00 PM","A",2019-09-25,"French","06/19/2020"
"Mr. Burrito Loco Mexican Restaurant",4001730027,"4320","Greenpoint Ave","Queens",11104,40.741023,-73.921692,"4320 Greenpoint Ave, Queens, NY","yes","no","no","06/24/2020 10:40:00 PM","A",2020-03-02,"Mexican","06/24/2020"
"Doyle's Corner",4006900035,"42-02","Broadway","Queens",11103,40.758156,-73.917279,"42-02 Broadway, Queens, NY","yes","no","yes","06/20/2020 03:21:00 PM","A",2019-10-24,"Irish","06/20/2020"
"Pisticci Restaurant",1019930112,"125","La Salle Street","Manhattan",10027,40.814064,-73.960362,"125 La Salle Street, Manhattan, NY","yes","no","yes","06/19/2020 02:42:00 PM","A",2019-09-03,"Italian","06/19/2020"
"Panchitas Place",3008990009,"709","5th Ave","Brooklyn",11215,40.6607,-73.994082,"709 5th Ave, Brooklyn, NY","yes","no","yes","06/19/2020 08:10:00 PM","A",2019-10-15,"Tex-Mex","06/19/2020"
"Saluggi's",1002100002,"325","Church St","Manhattan",10013,40.720204,-74.003777,"325 Church St, Manhattan, NY","yes","yes","yes","06/21/2020 03:37:00 PM","A",2019-04-10,"Italian","06/21/2020"
"Butch and Coco Cafe",3015010073,"153","Howard Avenue","Brooklyn",11233,40.68327,-73.920054,"153  Howard Avenue, Brooklyn, NY","yes","yes","yes","06/20/2020 10:13:00 AM","A",2019-12-20,"American","06/20/2020"
"Harvest Kitchen",1011250062,"269","Columbus Ave","Manhattan",10023,40.777778,-73.978517,"269  Columbus Ave, Manhattan, NY","no","yes","yes","06/19/2020 06:12:00 PM","A",2019-09-27,"Café/Coffee/Tea","06/19/2020"
"Events at Stone Park Cafe",3009740045,"357","Third St.","Brooklyn",11215,40.673047,-73.983774,"357 Third St., Brooklyn, NY","yes","yes","yes","06/19/2020 03:42:00 PM","A",2020-02-08,"American","06/19/2020"
"Famous Benï¿½s pizza",1005020044,"177","Spring st","Manhattan",10012,40.724839,-74.002511,"177 Spring st, Manhattan, NY","yes","yes","no","06/19/2020 03:11:00 PM","A",2019-10-24,"Pizza","06/19/2020"
"Desi Grill",3031990037,"46","Wyckoff ave","Brooklyn",11237,40.705814,-73.921654,"46  Wyckoff ave, Brooklyn, NY","yes","yes","no","06/27/2020 12:10:00 PM","Z",2019-11-12,"Indian","06/27/2020"
"Athena Mediterranean Cuisine",3010430009,"535","6th Ave.","Brooklyn",11215,40.664931,-73.986515,"535  6th Ave. , Brooklyn, NY","yes","no","yes","06/19/2020 04:51:00 PM","A",2019-12-04,"Mediterranean","06/19/2020"
"Patisserie Claude",1005927501,"187","West 4th Street","Manhattan",10002,40.732621,-74.001916,"187 West 4th Street, Manhattan, NY","yes","no","no","06/29/2020 08:34:00 PM","A",2019-04-05,"Bakery","06/29/2020"
"Libertad restaurant",4091190033,"9619","Liberty ave","Queens",11417,40.680692,-73.842624,"9619 Liberty ave, Queens, NY","yes","no","yes","06/23/2020 01:23:00 PM","A",2019-11-22,"Spanish","06/23/2020"
"El Montaï¿½ero bakery & restaurant",4034510011,"55-21","Myrtle Avenue","Queens",11385,40.699946,-73.90783,"55-21 Myrtle Avenue , Queens, NY","yes","yes","yes","06/23/2020 12:57:00 PM","A",2019-12-13,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/23/2020"
"PAOLA'S RESTAURANT",1015040020,"1295","MADISON AVE","Manhattan",10128,40.78476,-73.955952,"1295   MADISON AVE, Manhattan, NY","yes","yes","yes","06/19/2020 03:39:00 PM","A",2019-03-12,"American","06/19/2020"
"Bar Crudo",3009980040,"412","5th ave.","Brooklyn",11215,40.67013,-73.985519,"412  5th ave., Brooklyn, NY","yes","yes","yes","06/19/2020 02:58:00 PM","N",2020-06-19,"Seafood","06/19/2020"
"Claudio's Pizza and Pasta",1010530002,"598","10th Ave","Manhattan",10036,40.760442,-73.994871,"598  10th Ave, Manhattan, NY","yes","no","no","07/10/2020 07:43:00 AM","A",2019-09-19,"Pizza/Italian","07/10/2020"
"Tino's delicatessen",2030770006,"2410","Arthur Avenue","Bronx",10458,40.855821,-73.887327,"2410 Arthur Avenue, Bronx, NY","yes","yes","yes","06/19/2020 01:25:00 PM","A",2020-01-03,"Delicatessen","06/19/2020"
"Bella Notte",2057930457,"3524","Johnson Avenue","Bronx",10463,40.885974,-73.909869,"3524 Johnson Avenue, Bronx, NY","yes","yes","yes","06/19/2020 11:36:00 AM","A",2020-03-09,"Japanese","06/19/2020"
"Asian taste inc",3006460046,"718","5th Avenue","Brooklyn",11215,40.660431,-73.994392,"718 5th Avenue , Brooklyn, NY","no","yes","no","07/28/2020 11:38:00 AM","A",2019-10-10,"Chinese","07/28/2020"
"Vista Hermosa Deli Restaurant",2037700030,"1201","Evergreen Avenue","Bronx",10472,40.828499,-73.881072,"1201 Evergreen Avenue, Bronx, NY","yes","no","yes","06/19/2020 02:40:00 PM","B",2020-01-08,"African","06/19/2020"
"Hunter's Steak & Ale House",3061140033,"9404-9406","4th Avenue","Brooklyn",11209,40.616576,-74.030905,"9404-9406 4th Avenue, Brooklyn, NY","yes","no","yes","06/19/2020 03:52:00 PM","A",2019-11-20,"Steak","06/19/2020"
"Bravo Pizza",1008707501,"115","East 14th Street","Manhattan",10003,40.734116,-73.989117,"115  East 14th Street , Manhattan, NY","yes","no","yes","06/19/2020 02:22:00 PM","A",2020-03-13,"Mexican","06/19/2020"
"Italia pizza",3066510078,"307","Kings highway","Brooklyn",11223,40.605055,-73.978968,"307  Kings highway, Brooklyn, NY","yes","no","no","07/29/2020 11:59:00 AM","A",2020-01-02,"Pizza","07/29/2020"
"Vega Alta Sports Bar Inc.",2024760061,"880","Gerard Avenue","Bronx",10452,40.827883,-73.924708,"880  Gerard Avenue, Bronx, NY","yes","yes","yes","06/27/2020 01:54:00 PM","A",2020-01-07,"Caribbean","06/27/2020"
"Nomad Cafe & Eatery",4034820034,"67-14","Forest ave","Queens",11385,40.704127,-73.901718,"67-14  Forest ave , Queens, NY","no","yes","no","08/06/2020 05:20:00 PM","A",2019-12-09,"Café/Coffee/Tea","08/06/2020"
"Joanne Trattoria",1011200160,"70","West 68th Street","Manhattan",10023,40.774512,-73.979875,"70 West 68th Street, Manhattan, NY","yes","yes","yes","06/19/2020 02:05:00 PM","A",2020-03-05,"Italian","06/19/2020"
"Joeï¿½s Pizza",1000780043,"124","Fulton street","Manhattan",10038,40.71016,-74.007647,"124 Fulton street, Manhattan, NY","no","yes","no","07/30/2020 01:29:00 PM","A",2019-04-16,"Pizza","07/30/2020"
"Farra",1001737502,"71","Worth Street","Manhattan",10013,40.716816,-74.005664,"71  Worth Street, Manhattan, NY","yes","no","yes","06/23/2020 11:52:00 AM","A",2019-10-16,"American","06/23/2020"
"Pado",1004680038,"199","2nd Ave","Manhattan",10003,40.731352,-73.985679,"199 2nd Ave, Manhattan, NY","yes","no","yes","06/19/2020 02:42:00 PM","A",2020-03-03,"Japanese","06/19/2020"
"Leonelli Focacceria e Pasticceria",1008570007,"7","East 27th","Manhattan",10016,40.743843,-73.987196,"7  East 27th , Manhattan, NY","yes","yes","yes","06/23/2020 02:39:00 PM","A",2020-01-28,"Mediterranean","06/23/2020"
"SoleLuna",4001890005,"40-01","Queens Blvd","Queens",11104,40.7438,-73.924117,"40-01 Queens Blvd , Queens, NY","yes","yes","yes","06/19/2020 05:27:00 PM","A",2019-10-16,"Pizza","06/19/2020"
"Fuji Hana",3071320004,"512","Ave u","Brooklyn",11223,40.597721,-73.966421,"512 Ave u, Brooklyn, NY","yes","no","no","06/21/2020 09:34:00 AM","A",2020-01-28,"Jewish/Kosher","06/21/2020"
"DA Andrea",1005770019,"35","W 13th st.","Manhattan",10011,40.735854,-73.995381,"35  W 13th st. , Manhattan, NY","yes","yes","yes","06/19/2020 12:37:00 PM","A",2019-08-20,"Italian","06/19/2020"
"Henry Public",3002850003,"329","Henry Street","Brooklyn",11201,40.690371,-73.996408,"329 Henry Street, Brooklyn, NY","yes","yes","yes","06/19/2020 12:43:00 PM","A",2019-09-12,"American","06/19/2020"
"La Espiga Restaurant and Bakery Corp.",4019770001,"42-11","102nd Street","Queens",11368,40.747529,-73.863037,"42-11 102nd Street, Queens, NY","no","yes","no","06/24/2020 09:36:00 PM","Z",2020-02-11,"Spanish","06/24/2020"
"Deux Amis",1013430030,"356","East 51st Street","Manhattan",10022,40.754854,-73.966544,"356 East 51st Street, Manhattan, NY","no","yes","yes","06/19/2020 04:25:00 PM","A",2019-11-02,"French","06/19/2020"
"Stauntonï¿½s",4078420020,"224-07","Union Turnpike","Queens",11364,40.735838,-73.746304,"224-07 Union Turnpike , Queens, NY","yes","no","yes","06/19/2020 06:10:00 PM","A",2019-05-06,"Irish","06/19/2020"
"Keuka Kafe a Wine Bar",4033397501,"112-04","QUEENS BLVD","Queens",11375,40.718078,-73.836515,"112-04 QUEENS BLVD, Queens, NY","yes","no","yes","06/19/2020 03:10:00 PM","A",2020-02-13,"American","06/19/2020"
"Urban Backyard",1004800002,"180","Mulberry St","Manhattan",10012,40.720698,-73.99675,"180 Mulberry St, Manhattan, NY","yes","no","no","06/22/2020 03:49:00 PM","A",2019-12-27,"Café/Coffee/Tea","06/22/2020"
"Massaï¿½s Coal Fired Pizzeria & Bar",4004220007,"42-12","28th street","Queens",11101,40.749628,-73.939175,"42-12  28th street, Queens, NY","yes","yes","yes","06/19/2020 09:24:00 PM","A",2019-06-24,"Pizza","06/19/2020"
"The Gem Saloon",1009080001,"375","3rd Avenue","Manhattan",10016,40.741438,-73.981235,"375 3rd Avenue, Manhattan, NY","no","yes","yes","06/19/2020 01:26:00 PM","A",2019-12-10,"American","06/19/2020"
"Young Ethel's",3010280041,"506","5th Ave.","Brooklyn",11215,40.66713,-73.988022,"506 5th Ave., Brooklyn, NY","yes","yes","yes","06/19/2020 12:56:00 PM","A",2020-01-25,"American","06/19/2020"
"MANHATTANVILLE COFFEE",1020437503,"142","EDGECOMBE AVE","Manhattan",10030,40.821318,-73.944732,"142 EDGECOMBE AVE, Manhattan, NY","yes","no","no","08/07/2020 02:12:00 PM","B",2019-08-30,"American","08/07/2020"
"Fabiane's",3023440003,"142","north 5 street","Brooklyn",11211,40.716601,-73.958725,"142  north 5 street, Brooklyn, NY","yes","no","yes","06/19/2020 01:22:00 PM","A",2019-04-04,"Bakery","06/19/2020"
"Le pif",1011420064,"2058","Broadway","Manhattan",10023,40.777631,-73.982051,"2058  Broadway , Manhattan, NY","yes","no","yes","06/26/2020 06:40:00 PM","A",2020-03-05,"Salads","06/26/2020"
"Terakawa Ramen",1010670032,"885","9th ave","Manhattan",10019,40.7682,-73.98552,"885 9th ave, Manhattan, NY","yes","yes","no","07/21/2020 04:26:00 PM","B",2020-01-27,"Japanese","07/21/2020"
"Pasteur Grill & Noodles",1001990003,"85","Baxter Street","Manhattan",10013,40.716781,-73.999773,"85 Baxter Street, Manhattan, NY","yes","yes","yes","06/26/2020 08:35:00 PM","A",2019-07-24,"Mexican","06/26/2020"
"Ardesia Wine Bar",1010807501,"510","West 52nd Street","Manhattan",10019,40.766384,-73.991968,"510  West 52nd Street, Manhattan, NY","yes","yes","yes","06/27/2020 04:42:00 PM","A",2018-09-06,"American","06/27/2020"
"El Valle Tipico Restaurant",2036850040,"849","Castle Hill Avenue","Bronx",10473,40.824446,-73.849304,"849  Castle Hill Avenue, Bronx, NY","yes","no","yes","06/19/2020 11:11:00 AM","A",2019-07-12,"Spanish","06/19/2020"
"Salud Bar & Grill",3034450008,"1413","Bushwick Ave","Brooklyn",11207,40.684456,-73.909261,"1413  Bushwick Ave, Brooklyn, NY","yes","no","yes","06/22/2020 01:21:00 PM","A",2019-06-24,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/22/2020"
"Noods n chill",3024310022,"170","s 3rd","Brooklyn",11211,40.712048,-73.96126,"170  s 3rd, Brooklyn, NY","yes","yes","no","06/24/2020 11:45:00 AM","A",2020-01-22,"Thai","06/24/2020"
"Fish Market",1000970005,"111","South Street","Manhattan",10038,40.706859,-74.002081,"111   South Street, Manhattan, NY","no","yes","yes","06/23/2020 08:16:00 PM","A",2019-03-27,"Seafood","06/23/2020"
"Miss Lily's 7A",1004340029,"130","East 7th St","Manhattan",10009,40.726186,-73.983869,"130  East 7th St, Manhattan, NY","no","yes","yes","06/19/2020 12:04:00 PM","A",2020-01-03,"Vegetarian","06/19/2020"
"Roxys",4007950001,"22-79","Steinway st","Queens",11105,40.771598,-73.907579,"22-79  Steinway st, Queens, NY","yes","no","yes","06/25/2020 09:20:00 PM","A",2019-08-08,"Russian","06/25/2020"
"LOCKSMITH BAR",1021800507,"4463","BROADWAY","Manhattan",10040,40.857343,-73.932313,"4463 BROADWAY, Manhattan, NY","yes","yes","yes","06/19/2020 01:08:00 PM","A",2019-09-30,"American","06/19/2020"
"la pollera de Mario",4001970001,"4120","greenpoint av","Queens",11104,40.740105,-73.923757,"4120  greenpoint av, Queens, NY","yes","no","yes","06/19/2020 04:42:00 PM","A",2019-12-05,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/19/2020"
"Ny Jumbo Bagels",1013490102,"1070","2nd ave","Manhattan",10022,40.758847,-73.965615,"1070 2nd ave, Manhattan, NY","yes","no","no","06/21/2020 07:50:00 AM","A",2019-11-13,"Delicatessen","06/21/2020"
"The Bronx Beer Hall",2030730013,"2344","Arthur Avenue","Bronx",10460,40.854247,-73.888674,"2344  Arthur Avenue , Bronx, NY","yes","yes","yes","06/19/2020 02:41:00 PM","A",2020-03-03,"Italian","06/19/2020"
"Judy & Punch",4006260044,"34-08","30th Avenue","Queens",11103,40.765686,-73.918829,"34-08  30th Avenue, Queens, NY","no","yes","yes","06/22/2020 09:07:00 PM","B",2019-10-31,"American","06/22/2020"
"Loi Estiatorio",1010100145,"132","West 58th","Manhattan",10019,40.765443,-73.977788,"132 West 58th, Manhattan, NY","yes","yes","yes","06/19/2020 11:00:00 AM","A",2019-05-21,"Greek","06/19/2020"
"LA LECHONERA CRIOLLA INC",2028890092,"1709","WEBSTER AVE","Bronx",10457,40.843404,-73.903363,"1709 WEBSTER AVE, Bronx, NY","yes","no","yes","06/26/2020 03:47:00 PM","B",2020-02-03,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/26/2020"
"by CHLOE",1008130055,"1385","BROADWAY","Manhattan",10018,40.752613,-73.987389,"1385 BROADWAY, Manhattan, NY","yes","yes","no","07/01/2020 01:35:00 PM","A",2020-02-26,"Mediterranean","07/01/2020"
"Palmetto",3032200001,"309","Knickerbocker","Brooklyn",11237,40.701629,-73.923289,"309 Knickerbocker, Brooklyn, NY","yes","no","yes","06/19/2020 02:37:00 PM","A",2020-02-14,"American","06/19/2020"
"Fresh pita and tortilla corp",3030640004,"243","Bushwick ave","Brooklyn",11206,40.707545,-73.939809,"243 Bushwick ave, Brooklyn, NY","yes","yes","no","07/18/2020 12:47:00 PM","A",2019-12-02,"Middle Eastern","07/18/2020"
"DONATOS",4001290037,"50 22","39TH AVE","Queens",11377,40.74884,-73.913075,"50 22  39TH AVE, Queens, NY","yes","yes","yes","06/20/2020 11:28:00 AM","A",2019-08-13,"Pizza/Italian","06/20/2020"
"The Ryerson",3012260143,"698","Nostrand Ave","Brooklyn",11216,40.674712,-73.950055,"698 Nostrand Ave, Brooklyn, NY","yes","no","yes","06/21/2020 10:16:00 AM","A",2019-12-21,"American","06/21/2020"
"Cofre Restaurant 2",3041510035,"3462","fulton st","Brooklyn",11208,40.684841,-73.86798,"3462 fulton st, Brooklyn, NY","yes","yes","no","06/29/2020 01:41:00 PM","A",2019-10-18,"Spanish","06/29/2020"
"EDDIE'S PIZZA & TAQUERIA, CORP.",1016430040,"184","East 116th Street","Manhattan",10029,40.798158,-73.940547,"184 East 116th Street, Manhattan, NY","yes","no","no","06/23/2020 11:29:00 AM","A",2019-12-03,"Bakery","06/23/2020"
"Uncle Nickï¿½s Turkish cuisine",4029740137,"6208","Woodhaven boulevard","Queens",11374,40.726721,-73.87048,"6208 Woodhaven boulevard , Queens, NY","yes","yes","no","07/08/2020 04:47:00 PM","B",2020-01-14,"Peruvian","07/08/2020"
"Daily Provisions/Union Square Cafe",1008750001,"101-103","E 19th St","Manhattan",10003,40.737679,-73.988027,"101-103  E 19th St, Manhattan, NY","yes","yes","yes","06/23/2020 05:01:00 PM","A",2019-11-26,"American","06/23/2020"
"SI Fish & More Inc",5000160004,"137","Montgomery Avenue","Staten Island",10301,40.638888,-74.07808,"137  Montgomery Avenue , Staten Island, NY","yes","yes","no","06/30/2020 08:43:00 PM","A",2019-06-04,"American","06/30/2020"
"Tony's Pizzeria and Restaurant",3032890001,"443","Knickerbocker Avenue","Brooklyn",11237,40.699197,-73.919018,"443 Knickerbocker Avenue, Brooklyn, NY","no","yes","no","06/21/2020 07:31:00 PM","A",2019-09-11,"Pizza/Italian","06/21/2020"
"lionel GUY BREMOND",3020990041,"1","South Elliott place","Brooklyn",11217,40.689342,-73.976017,"1  South Elliott place, Brooklyn, NY","yes","yes","yes","06/20/2020 03:40:00 PM","B",2019-09-06,"French","06/20/2020"
"Gramercy Ale House",1008770047,"272","Third ave","Manhattan",10010,40.737903,-73.983834,"272  Third ave, Manhattan, NY","yes","yes","yes","06/19/2020 03:05:00 PM","A",2019-09-18,"American","06/19/2020"
"The Coffee Den Flying Lobster",3003420023,"144","Union street","Brooklyn",11232,40.684085,-74.001958,"144 Union street, Brooklyn, NY","no","yes","yes","06/22/2020 10:08:00 PM","A",2019-04-08,"French","06/22/2020"
"P J Horgan's",4001340025,"4902","Skillman Avenue","Queens",11377,40.746223,-73.915081,"4902 Skillman Avenue, Queens, NY","no","yes","yes","06/19/2020 02:45:00 PM","A",2019-03-27,"Spanish","06/19/2020"
"Sushi Sushi",1019880031,"1504","Amsterdam Ave","Manhattan",10031,40.818458,-73.952574,"1504 Amsterdam Ave, Manhattan, NY","yes","yes","no","07/23/2020 11:46:00 AM","A",2019-04-08,"Asian","07/23/2020"
"Rimtin Mediterranean restaurant",4039020028,"104-02","Metropolitan ave","Queens",11375,40.710144,-73.848903,"104-02 Metropolitan ave, Queens, NY","yes","no","yes","06/23/2020 03:53:00 PM","A",2019-04-03,"Mediterranean","06/23/2020"
"COCOHODO, INC",4052740006,"15807","NORTHERN BLVD","Queens",11358,40.763448,-73.807156,"15807 NORTHERN BLVD, Queens, NY","yes","yes","no","07/07/2020 10:59:00 AM","A",2019-11-26,"Korean","07/07/2020"
"100% Mr. Lin",3001497501,"445","Gold ST","Brooklyn",11201,40.690833,-73.983452,"445 Gold ST, Brooklyn, NY","yes","no","no","06/26/2020 07:26:00 PM","A",2020-03-10,"American","06/26/2020"
"Le roi lounge",5015460005,"10","AKron","Staten Island",10314,40.611738,-74.158831,"10 AKron , Staten Island, NY","yes","yes","yes","06/21/2020 02:25:00 PM","A",2020-03-04,"Pizza/Italian","06/21/2020"
"Le roi lounge",5015460005,"10","AKron","Staten Island",10314,40.611738,-74.158831,"10 AKron , Staten Island, NY","yes","yes","yes","06/21/2020 02:25:00 PM","A",2020-03-04,"Japanese","06/21/2020"
"Koo Koo Chicken",3063650047,"1698","86th Street","Brooklyn",11214,40.608664,-74.004985,"1698  86th Street, Brooklyn, NY","yes","yes","no","06/28/2020 05:38:00 PM","A",2019-08-26,"Asian","06/28/2020"
"Loreley Restaurant",1004250021,"7","Rivington St","Manhattan",10002,40.721364,-73.992662,"7 Rivington St, Manhattan, NY","yes","yes","yes","06/23/2020 07:12:00 PM","A",2019-12-18,"German","06/23/2020"
"Humro Bhim's Cafe Inc",4012850071,"74-10","37th Rd","Queens",11372,40.747254,-73.8913,"74-10  37th Rd, Queens, NY","yes","yes","no","08/03/2020 07:06:00 PM","B",2020-02-29,"Indian","08/03/2020"
"Mama Sushi",1020930029,"3569","Broadway","Manhattan",10031,40.827325,-73.949807,"3569 Broadway, Manhattan, NY","yes","yes","yes","06/21/2020 01:23:00 PM","A",2019-01-29,"Asian","06/21/2020"
"Stan's sports bar",2024830032,"836","River ave","Bronx",10451,40.826898,-73.926451,"836 River ave, Bronx, NY","yes","yes","yes","06/23/2020 04:02:00 PM","A",2020-03-03,"Pizza","06/23/2020"
"Fascati Pizza",3002260025,"80","Henry street","Brooklyn",11201,40.698451,-73.992546,"80 Henry street, Brooklyn, NY","yes","yes","no","06/22/2020 01:53:00 PM","A",2019-11-13,"Pizza/Italian","06/22/2020"
"Island Burgers",1012280030,"422","Amsterdam Ave","Manhattan",10024,40.784028,-73.977695,"422 Amsterdam Ave, Manhattan, NY","yes","yes","no","07/14/2020 10:05:00 AM","B",2019-06-19,"American","07/14/2020"
"Sultan Restaurant",3002850021,"144","Atlantic Avenue","Brooklyn",11201,40.690409,-73.995002,"144 Atlantic Avenue, Brooklyn, NY","yes","no","no","06/21/2020 04:44:00 PM","A",2019-11-13,"Mediterranean","06/21/2020"
"Carroll Place",1005390036,"157","Bleecker st","Manhattan",10012,40.728523,-73.999863,"157 Bleecker st, Manhattan, NY","yes","yes","yes","06/22/2020 06:25:00 AM","A",2019-12-10,"Italian","06/22/2020"
