"Restaurant.Name","Business.Address","GRADE","Postcode","Latitude","Longitude","CUISINE.DESCRIPTION","categories","Approved.for.Sidewalk.Seating","Approved.for.Roadway.Seating","Qualify.Alcohol"
"Judyï¿½s Spanish Restaurant","1505 Lexington Avenue, Manhattan, NY","B",10029,40.786676,-73.950325,"Pizza","Fast_food","yes","yes","yes"
"Cascalote Latin Bistro","2126  2nd Avenue , Manhattan, NY","A",10029,40.79274,-73.94088,"Mexican","Americas","yes","no","yes"
"Konbini","312 5th Avenue, Manhattan, NY","Z",10001,40.74692,-73.98568,"Japanese","Asian","yes","yes","yes"
"Vite Vinosteria","3105  34th street, Queens, NY","A",11106,40.762775,-73.921414,"Italian","European","no","yes","yes"
"Kingsbridge Social Club","3625 Kingsbridge Ave, Bronx, NY","A",10463,40.884464,-73.901885,"Pizza/Italian","Fast_food","yes","no","yes"
"Scarlatto Resturant","317  west 46th street, Manhattan, NY","A",10036,40.760114,-73.988669,"Italian","European","yes","yes","yes"
"el monumento restaurant bar & lounge","1185 broadway, Brooklyn, NY","A",11221,40.692522,-73.927349,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","yes","yes","yes"
"Peter Luger Steak House","178  Broadway, Brooklyn, NY","A",11211,40.709987,-73.962513,"Steak","Steak","yes","no","yes"
"Rustic Table","500 West 42, Manhattan, NY","B",10036,40.759668,-73.995593,"Mediterranean","European","yes","yes","yes"
"Amor y Amargo","95 Avenue A, Manhattan, NY","B",10009,40.725563,-73.983905,"Vegetarian","Vegetarian","no","yes","yes"
"Foxy Johns","143 East 47th , Manhattan, NY","A",10017,40.754392,-73.973175,"American","Americas","no","yes","yes"
"BARRIES RESTTAURANT","707 East 235, Bronx, NY","A",10466,40.89475,-73.85614,"Caribbean","Americas","yes","no","yes"
"Balthazar Restaurant","80 Spring St, Manhattan, NY","A",10012,40.72271,-73.99811,"Bakery","Dessert","yes","yes","yes"
"Las Delicias Mexicanas","2109  3rd Avenue , Manhattan, NY","A",10029,40.797535,-73.940309,"Mexican","Americas","yes","yes","yes"
"Apotheke","9 Doyers St, Manhattan, NY","A",10013,40.714448,-73.998131,"American","Americas","yes","yes","yes"
"Murphy's Tavern","6 Stone Street, Manhattan, NY","A",10004,40.704028,-74.012739,"American","Americas","yes","yes","yes"
"Ho Foods NYC","110 East 7th Street, Manhattan, NY","Z",10009,40.726507,-73.984641,"Ice Cream, Gelato, Yogurt, Ices","Dessert","yes","yes","yes"
"The Grumpy Cat Bar","480 62 street, Brooklyn, NY","A",11220,40.638702,-74.017962,"American","Americas","yes","yes","yes"
"Aroma trattoria","932 8th ave, Manhattan, NY","A",10019,40.765565,-73.983704,"Italian","European","yes","yes","yes"
"O'Flanagan's Bar & Grill","1664  Third Avenue, Manhattan, NY","A",10128,40.783424,-73.950634,"Irish","European","yes","yes","yes"
"Underhill","760 Dean Street, Brooklyn, NY","A",11238,40.679548,-73.96492,"Greek","European","yes","no","yes"
"Outback Steakhouse","60 West 23rd Street, Manhattan, NY","A",10010,40.742321,-73.991429,"Steak","Steak","yes","no","yes"
"Silver Apricot","20 Cornelia St, Manhattan, NY","A",10014,40.731498,-74.001916,"Seafood","Seafood","no","no","yes"
"Murphys Pub and Restaurant","977 2nd avenue, Manhattan, NY","A",10022,40.755944,-73.967757,"Irish","European","yes","yes","yes"
"Jeju Noodle Bar","679 Greenwich st, Manhattan, NY","A",10014,40.732931,-74.007494,"Korean","Asian","no","yes","yes"
"Buddha Beer bar","4476  broadway, Manhattan, NY","A",10040,40.857275,-73.932328,"Chinese/Cuban","Asian","yes","yes","yes"
"Kungfu noodle inc","146  East 55th st , Manhattan, NY","B",10022,40.759406,-73.969581,"Chinese","Asian","yes","yes","yes"
"Sam won Garden","35 West 32nd Street, Manhattan, NY","A",10001,40.747617,-73.986571,"Seafood","Seafood","no","yes","yes"
"Don Angie","103 Greenwich Avenue, Manhattan, NY","A",10014,40.73774,-74.001819,"American","Americas","no","yes","yes"
"SEVEN CHINA","22134 HORACE HARDING EXPY, Queens, NY","A",11364,40.749362,-73.755525,"Korean","Asian","yes","yes","yes"
"Maison Pickle","2315 Broadway, Manhattan, NY","A",10024,40.786902,-73.977708,"Hamburgers","Fast_food","yes","yes","yes"
"TIME CAFE","105 Canal Street, Manhattan, NY","A",10002,40.71559,-73.994142,"Café/Coffee/Tea","Dessert","yes","yes","yes"
"The Cabinet","649 East 9th Street, Manhattan, NY","A",10009,40.72573,-73.979002,"American","Americas","yes","yes","yes"
"Paul's Da Burger Joint","131 2ND AVE, Manhattan, NY","N",10003,40.728506,-73.987751,"Chinese","Asian","yes","no","yes"
"El Anzuelo Fino","98-01 Jamaica Ave, Queens, NY","A",11421,40.694807,-73.847621,"Peruvian","Americas","yes","no","yes"
"xochimilco family rest inc","653  melrose ave , Bronx, NY","A",10455,40.818556,-73.916655,"Mexican","Americas","yes","no","yes"
"Handcraft Kitchen & Cocktails","367 Third Avenue, Manhattan, NY","A",10018,40.741068,-73.981506,"American","Americas","yes","yes","yes"
"FLOR A GARCIA","7620 JAMAICA AVENUE, Queens, NY","Z",11421,40.691601,-73.865363,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","yes","yes","yes"
"Tarros Bar","111-13 Roosevelt ave, Queens, NY","A",11368,40.751675,-73.85554,"Spanish","European","yes","no","yes"
"Ricos chicken corp","74-27  metropolitan ave, Queens, NY","A",11379,40.712936,-73.877353,"Spanish","European","yes","yes","yes"
"A-Pou's Taste","963 Grand St, Brooklyn, NY","B",11211,40.713085,-73.936027,"Asian","Asian","yes","yes","yes"
"Chingoo restaurant","373 Graham ave, Brooklyn, NY","A",11211,40.715768,-73.944595,"Korean","Asian","yes","yes","yes"
"Ainsworth Midtown","45 E 33rd Street, Manhattan, NY","B",10016,40.746895,-73.982944,"American","Americas","yes","yes","yes"
"JIR Restaurant Corp","83-12A 37th Avenue, Queens, NY","A",11373,40.749859,-73.883161,"Japanese","Asian","yes","yes","yes"
"Tropical sensation","953 Amsterdam Avenue  , Manhattan, NY","A",10025,40.800935,-73.965333,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","no","yes","yes"
"Sushi Yu II","827 West 181st Street, Manhattan, NY","B",10033,40.851282,-73.939596,"Chinese","Asian","yes","no","yes"
"bridies bar and grill","6328 Woodhaven Blvd , Queens, NY","A",11374,40.723719,-73.868686,"American","Americas","yes","yes","yes"
"Taqueria El Patron Mexican Grill","51 Lincoln road, Brooklyn, NY","A",11225,40.660847,-73.961163,"Mexican","Americas","yes","no","yes"
"Quality Bistro","120 West 55th Street, Manhattan, NY","N",10019,40.763379,-73.979001,"Asian","Asian","yes","no","yes"
"Soho Sushi","231 Sullivan St., Manhattan, NY","A",10012,40.729635,-73.999711,"Japanese","Asian","yes","no","yes"
"Soneros","9202 Corona Avenue, Queens, NY","A",11373,40.742439,-73.872218,"Spanish","European","yes","no","yes"
"Land Thai Kitchen","450 Amsterdam Ave, Manhattan, NY","A",10024,40.784859,-73.977092,"Irish","European","yes","yes","yes"
"SAKE BAR HAGI 46","358  W. 46TH STREET, Manhattan, NY","A",10036,40.760463,-73.989528,"Japanese","Asian","no","no","yes"
"Mother's Ruin","18 spring street , Manhattan, NY","A",10012,40.721411,-73.994975,"American","Americas","yes","yes","yes"
"Ihop","785  Flushing avenue, Brooklyn, NY","N",11206,40.700915,-73.941153,"Juice, Smoothies, Fruit Salads","Dessert","yes","no","no"
"Lea","1022 Cortelyou Road, Brooklyn, NY","A",11218,40.639371,-73.968515,"Italian","European","yes","yes","yes"
"TROPICAL PARADISE CATERING","1367 UTICA, Brooklyn, NY","A",11203,40.639019,-73.929014,"Caribbean","Americas","yes","yes","yes"
"THE COFFEE DEN","144  UNION STREET, Brooklyn, NY","A",11231,40.684085,-74.001958,"French","European","yes","no","yes"
"Pescada New York","1776 Ocean Avenue, Brooklyn, NY","A",11230,40.618987,-73.955129,"Jewish/Kosher","European","yes","yes","yes"
"TIOS BISTRO","421  MALCOLM X BLVD , Manhattan, NY","A",10037,40.81171,-73.942626,"Spanish","European","yes","no","yes"
"quiet bar restaurant","535 east tremont av, Bronx, NY","A",10457,40.846623,-73.895923,"Spanish","European","yes","yes","yes"
"Totto Ramen Midtown East","248 East 52nd Street, Manhattan, NY","A",10022,40.756603,-73.968749,"Japanese","Asian","yes","yes","yes"
"Tao","369 West 16th Street, Manhattan, NY","A",10011,40.741854,-74.003367,"Steak","Steak","yes","no","yes"
"AYADA THAI","75  9th AVENUE, Manhattan, NY","N",10011,40.741876,-74.004713,"American","Americas","yes","yes","yes"
"THE ORIGINAL VINCENT'S","119  MOTT ST, Manhattan, NY","A",10013,40.717714,-73.997215,"Italian","European","yes","yes","yes"
"HASHI RAMEN & IZAKAYA","192-12 Northern Blvd., Queens, NY","A",11358,40.757844,-73.789207,"Japanese","Asian","yes","yes","yes"
"Thai Market Inc.","960  Amsterdam Avenue, Manhattan, NY","A",10025,40.801209,-73.965156,"Thai","Asian","yes","no","yes"
"The Red Flame","67 West 44 Street, Manhattan, NY","A",10036,40.755634,-73.981938,"American","Americas","yes","yes","yes"
"Reif's Tavern","302 East 92nd Street, Manhattan, NY","A",10128,40.781518,-73.948578,"American","Americas","yes","yes","yes"
"Upstate Craft Beer and Oyster Bar","95 First ave, Manhattan, NY","N",10003,40.726247,-73.986283,"Italian","European","yes","yes","yes"
"Zen Ramen & Sushi","150 W 36th St , Manhattan, NY","A",10018,40.751792,-73.988551,"Asian","Asian","yes","yes","yes"
"Nostrand Avenue Pub","658 Nostrand Avenue, Brooklyn, NY","A",11216,40.675865,-73.949946,"American","Americas","yes","no","yes"
"fuji hana restaurant","512 ave u, Brooklyn, NY","A",11223,40.597721,-73.966421,"Jewish/Kosher","European","yes","yes","yes"
"Alphabet City Beer Co.","96 Avenue C, Manhattan, NY","A",10009,40.723764,-73.979079,"Sandwiches","Fast_food","yes","yes","yes"
"JAMS Restaurant","1414 6th Avenue, Manhattan, NY","A",10019,40.764787,-73.976846,"American","Americas","yes","no","yes"
"J.W. CAFE & BAR INC","131-74  MAPLE AVENUE, Queens, NY","A",11355,40.753616,-73.83336,"Asian","Asian","yes","yes","yes"
"Zia Maria Little Italy","138 Mulberry, Manhattan, NY","A",10013,40.718595,-73.997655,"Italian","European","yes","yes","yes"
"Dynaco","1112 Bedford Avenue, Brooklyn, NY","A",11216,40.686687,-73.954586,"Café/Coffee/Tea","Dessert","yes","yes","yes"
"The Ritz Bar & Lounge","369 West 46 street , Manhattan, NY","A",10036,40.760562,-73.989723,"American","Americas","no","yes","yes"
"SAN MATTEO PIZZERIA E CUCINA","1559 2nd Avenue , Manhattan, NY","A",10028,40.774565,-73.954172,"Seafood","Seafood","no","yes","yes"
"Colonie","127 Atlantic Avenue, Brooklyn, NY","A",11201,40.69064,-73.995777,"American","Americas","yes","yes","yes"
"La Chacra Restaurant Inc","1928 Bath Ave., Brooklyn, NY","A",11214,40.60217,-74.002913,"Eastern European","European","yes","no","yes"
"Bettolona","3143  Broadway , Manhattan, NY","A",10027,40.813993,-73.959542,"Italian","European","yes","no","yes"
"RUBIROSA","8407 northern blvd , Queens, NY","B",11372,40.755782,-73.883331,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","yes","yes","yes"
"Blvd Bistro","2149 Frederick Douglass Blvd, Manhattan, NY","A",10026,40.80428,-73.955484,"Mediterranean","European","yes","no","yes"
"Empanada Mama","765 9th Ave, Manhattan, NY","A",10019,40.764341,-73.988336,"Spanish","European","yes","no","yes"
"Avere Ristorante","222 Duffield Street, Brooklyn, NY","A",11201,40.691454,-73.984386,"Café/Coffee/Tea","Dessert","yes","yes","yes"
"Sanfords Restaurant","3013 Broadway, Queens, NY","A",11106,40.762268,-73.925991,"American","Americas","yes","no","yes"
"Charleston","174 Bedford avenue, Brooklyn, NY","A",11211,40.718069,-73.95749,"American","Americas","yes","no","yes"
"El Quinto Pino","401 West 24th Street, Manhattan, NY","A",10011,40.747335,-74.00127,"Chinese","Asian","yes","yes","yes"
"Little Frog","322 East 86th Street , Manhattan, NY","A",10028,40.777561,-73.951021,"French","European","yes","yes","yes"
"Paesanos Restaurant","136 Mulberry Street, Manhattan, NY","A",10013,40.718527,-73.997695,"Italian","European","yes","yes","yes"
"Gnoccheria","234 E. 4th Street, Manhattan, NY","A",10009,40.723394,-73.982813,"Vietnamese/Cambodian/Malaysia","Asian","yes","yes","yes"
"Archer & Goat","187 Lenox Avenue, Manhattan, NY","A",10026,40.804244,-73.948076,"American","Americas","yes","yes","yes"
"The Jeffrey Craft Beer & Bites","311 East 60th Street , Manhattan, NY","A",10022,40.760924,-73.96309,"American","Americas","yes","no","yes"
"Ponty Bistro","144  West 139th street, Manhattan, NY","A",10030,40.817597,-73.941266,"French","European","no","yes","yes"
"SABOR DE MI TIERRA RESTAURANT CORP","1712  UNIVERSITY AVENUE, Bronx, NY","Z",10453,40.84862,-73.918019,"Chicken","Others","yes","yes","yes"
"Mamas Pizza Too! LLC","2750 Broadway, Manhattan, NY","N",10025,40.800873,-73.967919,"Spanish","European","no","yes","yes"
"The Loyal","289 Bleecker Street, Manhattan, NY","A",10014,40.732105,-74.003478,"American","Americas","yes","no","yes"
"MITLA","213   6Th Avenue, Manhattan, NY","A",10014,40.727315,-74.003316,"French","European","yes","no","yes"
"Barbalu","225  Front street, Manhattan, NY","A",10038,40.707506,-74.002157,"Italian","European","no","no","yes"
"El gran coffee shop","8610  Roosevelt avenue, Queens, NY","A",11372,40.748039,-73.879988,"Pizza","Fast_food","yes","yes","yes"
"La Casa Del Mofongo 207 LLC","546 W 207th Street, Manhattan, NY","A",10034,40.865979,-73.920124,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","yes","yes","yes"
"The Buren","1223 Broadway, Brooklyn, NY","A",11221,40.69187,-73.926196,"Café/Coffee/Tea","Dessert","yes","no","yes"
"MOIC CAFE","558  BROADWAY, Manhattan, NY","A",10012,40.72386,-73.998092,"Ice Cream, Gelato, Yogurt, Ices","Dessert","no","yes","yes"
"Greenpoint lounge","43-22 Greenpoint avenue, Queens, NY","A",11104,40.741029,-73.921674,"Irish","European","yes","yes","yes"
"Skinny Dennis","152 Metropolitan Ave., Brooklyn, NY","A",11211,40.71605,-73.962141,"American","Americas","yes","yes","yes"
"Nancy Whiskey Pub","1 Lispenard St, Manhattan, NY","A",10013,40.720547,-74.005011,"Italian","European","yes","yes","yes"
"MI GRAN SUENO GRILL & LOUNGE RESTAURANT CORP","3379  BROADWAY, Manhattan, NY","A",10031,40.821305,-73.954201,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","yes","yes","yes"
"Mulberry & Vine","55  Prospect Street, Brooklyn, NY","A",11201,40.700704,-73.988463,"Australian","Oceanian","yes","no","no"
"M Noodle Shop","549 Metropolitan Avenue, Brooklyn, NY","C",11211,40.714075,-73.95052,"Chinese","Asian","yes","no","yes"
"memaids","31-06 31 street, Queens, NY","A",11106,40.763894,-73.923838,"Pizza","Fast_food","yes","no","yes"
"Dear Mama","611 W 129th Street, Manhattan, NY","A",10027,40.816514,-73.958276,"American","Americas","yes","no","yes"
"The Royal Seafood Bar","160 Havemeyer St, Brooklyn, NY","N",11211,40.71136,-73.957704,"Seafood","Seafood","yes","yes","yes"
"hummus market","361 graham ave, Brooklyn, NY","A",11211,40.715395,-73.944538,"Middle Eastern","Asian","yes","yes","yes"
"Sushi Yu 2","827 West 181st Street, Manhattan, NY","B",10033,40.851282,-73.939596,"Chinese","Asian","no","yes","yes"
"Smith & Wollensky","797 Third Avenue, Manhattan, NY","A",10022,40.755327,-73.971106,"American","Americas","yes","no","yes"
"Seis Vecinos Restaurant","640 Prospect Ave, Bronx, NY","Z",10455,40.815227,-73.903396,"Spanish","European","yes","no","yes"
"Bondurants","303 E 85TH STREET, Manhattan, NY","B",10028,40.777037,-73.951845,"American","Americas","yes","no","yes"
"Bondurants","303 E 85TH STREET, Manhattan, NY","A",10028,40.777037,-73.951845,"American","Americas","yes","no","yes"
"Hero Thai & izakaya","3416 Broadway, Queens, NY","N",11106,40.760745,-73.922791,"Thai","Asian","yes","yes","yes"
"Hayaty","103  Ave A, Manhattan, NY","A",10009,40.725796,-73.983736,"Middle Eastern","Asian","no","yes","yes"
"MARIAS RESTAURANT","17237 HILLSIDE AVE, Queens, NY","Z",11432,40.712182,-73.788955,"Mexican","Americas","yes","yes","yes"
"Strip House Midtown","15 West 44th Street, Manhattan, NY","A",10036,40.755129,-73.98074,"Steak","Steak","yes","yes","yes"
"V&T Restaurant","1024  Amsterdam avenue, Manhattan, NY","A",10025,40.803336,-73.963612,"Italian","European","no","yes","yes"
"Bar Culaccino","235  West 56th Street, Manhattan, NY","A",10019,40.765611,-73.982322,"Mexican","Americas","yes","yes","yes"
"Fantasy Bar and Restaurant","23 E Tremont Ave, Bronx, NY","B",10453,40.851583,-73.908834,"Spanish","European","yes","yes","yes"
"Lulu's Nurse Bettie","106 Norfolk Street, Manhattan, NY","A",10002,40.71891,-73.987078,"American","Americas","no","yes","yes"
"Sushi Damo","330 West 58th Street, Manhattan, NY","A",10019,40.767824,-73.983408,"American","Americas","yes","yes","yes"
"Townhouse 275","275 94th Street, Brooklyn, NY","A",11209,40.618074,-74.033798,"Korean","Asian","yes","yes","yes"
"TACOS EL NOPAL","8321  5th Avenue, Brooklyn, NY","A",11209,40.623373,-74.025123,"Mexican","Americas","yes","yes","yes"
"Hartley's","14 Putnam Avenue, Brooklyn, NY","A",11238,40.682723,-73.961327,"Mexican","Americas","yes","yes","yes"
"International Food House","4762  Broadway, Manhattan, NY","A",10040,40.865646,-73.926932,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","yes","no","yes"
"Kaieteur Restaurant & Sports Bar","87 12 Lefferts Blvd, Queens, NY","A",11418,40.699584,-73.830696,"Caribbean","Americas","yes","no","yes"
"hanon","436  Union ave , Brooklyn, NY","A",11211,40.713414,-73.951512,"Japanese","Asian","yes","yes","yes"
"Woodhul Winebar","644 Driggs Ave, Brooklyn, NY","A",11211,40.715009,-73.958628,"American","Americas","yes","yes","yes"
"Lovell's AfterDark Bar & Lounge","224-01  Merrick Blvd, Queens, NY","A",11413,40.67785,-73.74548,"Chinese","Asian","yes","yes","yes"
"620 on Caton","620 Caton Avenue, Brooklyn, NY","A",11218,40.647706,-73.974321,"Sandwiches/Salads/Mixed Buffet","Fast_food","yes","yes","yes"
"5 Napkin Burger","1325 2nd Avenue, Manhattan, NY","A",10021,40.767343,-73.959444,"Japanese","Asian","yes","no","yes"
"Porteno","299 10th avenue, Manhattan, NY","A",10001,40.750368,-74.00223,"Spanish","European","yes","yes","yes"
"SUSHI ISLAND","87-18 QUEENS BLVD, Queens, NY","A",11373,40.735318,-73.875569,"Japanese","Asian","yes","no","yes"
"SUGARCANE","238  Flatbush Ave, Brooklyn, NY","B",11217,40.680446,-73.974838,"Caribbean","Americas","yes","yes","yes"
"Manaba Restaurante","341  St Nicholas ave, Brooklyn, NY","B",11385,40.700549,-73.909824,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","yes","no","yes"
"Dark Bullet","154 W 72nd Street, Manhattan, NY","A",10023,40.778127,-73.980513,"Pizza","Fast_food","yes","no","yes"
"Dark Bullet","154 W 72nd Street, Manhattan, NY","A",10023,40.778127,-73.980513,"Japanese","Asian","yes","no","yes"
"JUNGSIK","2 HARRISON STREET, Manhattan, NY","A",10013,40.718658,-74.008896,"Korean","Asian","yes","yes","yes"
"Sant Ambroeus Cafe at the Hanley","1136  Third Avenue, Manhattan, NY","N",10065,40.766164,-73.963228,"Juice, Smoothies, Fruit Salads","Dessert","yes","no","yes"
"TIANFU BBQ","144-18 NORTHERN BLVD, Queens, NY","B",11354,40.764697,-73.823029,"Bakery","Dessert","yes","no","yes"
"Sarge's Delicatessen and Diner","548 3rd Ave, Manhattan, NY","A",10016,40.74727,-73.977011,"Delicatessen","Others","no","yes","yes"
"win son bakery","164 graham ave, Brooklyn, NY","A",11206,40.70716,-73.943163,"Asian","Asian","yes","no","yes"
"Ten Ichi Ramen","382 7th Ave, Brooklyn, NY","A",11215,40.665354,-73.982878,"Asian","Asian","no","yes","yes"
"Num Pang Sandwich Shop","1129 Broadway, Manhattan, NY","C",10017,40.743415,-73.989094,"Indian","Asian","yes","yes","yes"
"Wanshun Seafood Restaurant","135-19 40th road, Queens, NY","B",11354,40.75887,-73.83013,"Chinese","Asian","no","yes","yes"
"Emerald Inn","250 W72nd St, Manhattan, NY","Z",10023,40.7793,-73.983286,"Irish","European","yes","yes","yes"
"CINDERELLA STORY","8 BERRY STREET, Brooklyn, NY","N",11249,40.722259,-73.955117,"Other","Others","yes","yes","yes"
"al di la Trattoria","248 Fifth Avenue, Brooklyn, NY","B",11215,40.675246,-73.981271,"Italian","European","yes","yes","yes"
"68 Jay Street Bar","68 Jay Street, Brooklyn, NY","A",11201,40.702763,-73.986681,"Pizza","Fast_food","yes","yes","yes"
"Solace Bar And Grill inc","3496  Broadway , Manhattan, NY","A",10031,40.82499,-73.951489,"Spanish","European","yes","yes","yes"
"A & J 137-01 CORP","137-01 CROSSBAY BLVD, Queens, NY","A",11417,40.672044,-73.843145,"Pizza/Italian","Fast_food","yes","no","yes"
"Arts and Crafts Beer Parlor","26 West 8th Street, Manhattan, NY","A",10011,40.732692,-73.997409,"American","Americas","no","no","yes"
"Third Avenue Ale House","1644 3rd Ave, Manhattan, NY","A",10128,40.782732,-73.95114,"American","Americas","no","yes","yes"
"Goose Barnacle","91 Atlantic Avenue, Brooklyn, NY","A",11201,40.691035,-73.997177,"Café/Coffee/Tea","Dessert","yes","no","yes"
"Reade street pub and kichen","135 Reade st, Manhattan, NY","A",10013,40.716385,-74.00966,"American","Americas","yes","yes","yes"
"Aita Restaurant","132  Greene ave, Brooklyn, NY","A",11238,40.686603,-73.966676,"Italian","European","yes","no","yes"
"5 Napkin Burger","1325 2nd Avenue, Manhattan, NY","A",10021,40.767343,-73.959444,"Japanese","Asian","yes","yes","yes"
"Cappuccino Cafe","7721 3rd Avenue, Brooklyn, NY","A",11209,40.629806,-74.028457,"American","Americas","yes","yes","yes"
"Maggie Reillys","340  9th ave, Manhattan, NY","A",10001,40.750544,-73.998365,"Irish","European","yes","yes","yes"
"Villa Brasil Corp","4316 34th Avenue, Queens, NY","A",11101,40.75545,-73.918264,"Brazilian","Americas","yes","yes","yes"
"Gyu-Kaku Japanese BBQ","4052 Main Street, Queens, NY","A",11354,40.758449,-73.829601,"Chinese","Asian","yes","yes","yes"
"YUKI SUSHI & BAR INC","6117 20th Ave, Brooklyn, NY","A",11204,40.618646,-73.983632,"Chinese/Japanese","Asian","yes","no","yes"
"Alenbi kitchen","887 Nostrand Ave , Brooklyn, NY","A",11225,40.666472,-73.950807,"Jewish/Kosher","European","yes","yes","yes"
"Golden Diner","123  Madison Street, Manhattan, NY","A",10002,40.712342,-73.994055,"American","Americas","yes","yes","yes"
"Niu Pot","4235 Main st, Queens, NY","N",11355,40.754426,-73.827882,"Salads","Vegetarian","yes","no","yes"
"Naughty Crab","1621 Lexington Ave, Manhattan, NY","A",10029,40.789922,-73.947961,"Seafood","Seafood","yes","yes","yes"
"Westville","333  Hudson Street, Manhattan, NY","A",10013,40.72703,-74.007378,"American","Americas","yes","yes","yes"
"Bushwick Public House","201 Central Ave. , Brooklyn, NY","A",11221,40.697839,-73.924707,"Café/Coffee/Tea","Dessert","yes","no","yes"
"Bar 718","718 5 Ave , Brooklyn, NY","A",11215,40.660431,-73.994392,"Chinese","Asian","yes","yes","yes"
"Harlem Shake","100 W 124TH ST, Manhattan, NY","A",10027,40.807293,-73.946455,"American","Americas","yes","yes","yes"
"LENOS BAR CAFE","80 15 NORTHERN BOULEVARD, Queens, NY","A",11372,40.755396,-73.886995,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","yes","yes","yes"
"Nargis Corp.","2818  Coney Island Avenue, Brooklyn, NY","A",11239,40.587874,-73.960403,"Japanese","Asian","yes","yes","yes"
"BIRDS OF A FEATHER","172 N 1ST STREET, Brooklyn, NY","A",11211,40.714589,-73.960295,"Chinese","Asian","yes","yes","yes"
"City diner","2441 Broadway, Manhattan, NY","A",10024,40.790941,-73.974507,"American","Americas","yes","no","yes"
"Gramercy Kitchen","184 3rd ave, Manhattan, NY","A",10003,40.735118,-73.985866,"American","Americas","yes","yes","yes"
"Hogshead Tavern","126 Hamilton Place, Manhattan, NY","A",10031,40.823952,-73.949163,"Bakery","Dessert","yes","yes","yes"
"Left Bank","117 Perry, Manhattan, NY","A",10014,40.735061,-74.006632,"American","Americas","yes","yes","yes"
"Cabaï¿½a Salvadoreï¿½a Rest","4384 Broadway, Manhattan, NY","A",10040,40.854432,-73.933606,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","yes","no","yes"
"Burger Time","1080 Morris Park Avenue, Bronx, NY","A",10461,40.849297,-73.853585,"Hamburgers","Fast_food","yes","yes","yes"
"Bareburger","3321 31st ave, Queens, NY","A",11103,40.763473,-73.921644,"American","Americas","yes","yes","yes"
"Ricos chicken corp","74-27 Metropolitan ave, Queens, NY","A",11379,40.712936,-73.877353,"Spanish","European","yes","no","yes"
"Kazunori the Original Handroll Bar","15 W. 28th St., Manhattan, NY","A",10001,40.74515,-73.988383,"Japanese","Asian","yes","yes","yes"
"Ann & Tonys restaurant","2407 Arthur Ave , Bronx, NY","A",10458,40.855793,-73.887374,"Italian","European","yes","yes","yes"
"Colonia Verde","219 Dekalb Avenue, Brooklyn, NY","A",11205,40.689533,-73.970637,"Peruvian","Americas","yes","no","yes"
"The Stumble Inn","1454 2nd Ave, Manhattan, NY","A",10021,40.771289,-73.956539,"American","Americas","yes","yes","yes"
"Pats Sports Bar","7313 Metropolitan Avenue, Queens, NY","A",11379,40.712759,-73.879096,"American","Americas","yes","yes","yes"
"LUGO LOUNGE & RESTAURANT","1089 CYPRESS AVE, Queens, NY","A",11385,40.696435,-73.900114,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas","yes","yes","yes"
"Harding's","32 East 21st , Manhattan, NY","A",10010,40.739589,-73.98895,"American","Americas","yes","yes","yes"
"kourosbay diner","3861  nostrand ave, Brooklyn, NY","C",11235,40.589885,-73.939846,"Chinese/Japanese","Asian","yes","no","yes"
"El gallo negro","111-12 Roosevelt ave., Queens, NY","A",11368,40.751658,-73.855529,"Spanish","European","yes","yes","yes"
"Bases Loaded Sports Bar Inc","2997 Westchester Ave, Bronx, NY","B",10461,40.847111,-73.832171,"American","Americas","yes","no","yes"
"Los tres potrillos y.v inc","82-11 Roosevelt ave., Queens, NY","A",11372,40.747661,-73.883731,"Mexican","Americas","yes","yes","yes"
"1/2/3 BSB Restaurant","712 W. 125th Street, Manhattan, NY","A",10027,40.818398,-73.960771,"American","Americas","yes","no","yes"
"Change Your Life LLC","9  East 16 Street, Manhattan, NY","A",10003,40.737171,-73.992253,"Bottled beverages, including water, sodas, juices, etc.","Dessert","yes","yes","yes"
"A.S. Subway Inn, Inc","1140 2nd Avenue, Manhattan, NY","A",10065,40.761325,-73.963805,"American","Americas","yes","no","yes"
"The Leopard at des Artistes","1 West 67th street, Manhattan, NY","A",10023,40.773219,-73.978702,"Italian","European","yes","yes","yes"
"PARAISO BAR INC","1752 BATH AVENUE, Brooklyn, NY","A",11214,40.60425,-74.006785,"Pizza","Fast_food","yes","yes","yes"
"Salvi Restaurant","4220 Quentin Rd, Brooklyn, NY","A",11234,40.617573,-73.932257,"Pizza","Fast_food","yes","no","yes"
"New xitop BBQ","40-30 149 place , Queens, NY","A",11354,40.762626,-73.81492,"Chinese","Asian","yes","no","yes"
